Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-01,14,Treasure Hunters,Ancient Egypt,37.5,816
2024-01-01,15,Accelerator,Sci-Fi City,15.0,233
2024-01-01,15,Battlestar Galactica: CYLON,Sci-Fi City,15.714285714285714,679
2024-01-01,15,Battlestar Galactica: HUMAN,Sci-Fi City,6.428571428571429,15
2024-01-01,15,Canopy Flyer,The Lost World,32.857142857142854,702
2024-01-01,15,Dino-Soarin,The Lost World,27.142857142857142,324
2024-01-01,15,Enchanted Airways,Far Far Away,7.142857142857143,114
2024-01-01,15,Jurassic Park Rapids Adventure,The Lost World,30.0,465
2024-01-01,15,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,103
2024-01-01,15,Magic Potion Spin,Far Far Away,5.0,51
2024-01-01,15,Puss In Boots’ Giant Journey,Far Far Away,52.857142857142854,1417
2024-01-01,15,Revenge of the Mummy,Ancient Egypt,20.0,267
2024-01-01,15,Sesame Street Spaghetti Space Chase,New York,21.428571428571427,133
2024-01-01,15,Shrek 4-D Adventure,Far Far Away,20.0,568
2024-01-01,15,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,47.142857142857146,960
2024-01-01,15,Treasure Hunters,Ancient Egypt,40.0,633
2024-01-01,16,Accelerator,Sci-Fi City,8.333333333333334,51
2024-01-01,16,Battlestar Galactica: CYLON,Sci-Fi City,16.25,513
2024-01-01,16,Battlestar Galactica: HUMAN,Sci-Fi City,15.0,252
2024-01-01,16,Canopy Flyer,The Lost World,45.0,991
2024-01-01,16,Dino-Soarin,The Lost World,20.0,383
2024-01-01,16,Enchanted Airways,Far Far Away,20.0,477
2024-01-01,16,Jurassic Park Rapids Adventure,The Lost World,30.0,471
2024-01-01,16,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,415
2024-01-01,16,Magic Potion Spin,Far Far Away,5.0,24
2024-01-01,16,Puss In Boots’ Giant Journey,Far Far Away,39.166666666666664,913
2024-01-01,16,Revenge of the Mummy,Ancient Egypt,20.0,556
2024-01-01,16,Sesame Street Spaghetti Space Chase,New York,30.0,136
2024-01-01,16,Shrek 4-D Adventure,Far Far Away,20.0,417
2024-01-01,16,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,17.5,549
2024-01-01,16,Treasure Hunters,Ancient Egypt,40.0,400
2024-01-01,17,Accelerator,Sci-Fi City,5.0,70
2024-01-01,17,Battlestar Galactica: CYLON,Sci-Fi City,5.0,94
2024-01-01,17,Battlestar Galactica: HUMAN,Sci-Fi City,5.833333333333333,21
2024-01-01,17,Canopy Flyer,The Lost World,33.333333333333336,923
2024-01-01,17,Dino-Soarin,The Lost World,20.0,259
2024-01-01,17,Enchanted Airways,Far Far Away,20.0,417
2024-01-01,17,Jurassic Park Rapids Adventure,The Lost World,30.0,372
